更新时间: 2025-11-28 18:46:29（北京时间）

更新时间,#genre#
2025-11-28 18:46:29,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
安徽卫视,http://58.38.126.237:4022/rtp/239.45.3.143:5140$上海市电信
安徽卫视,http://58.38.126.237:4022/rtp/239.45.1.120:5140$上海市电信
安徽卫视,http://58.38.126.237:4022/rtp/233.18.204.93:5140$上海市电信
山东卫视,http://123.113.182.104:8001/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://123.113.182.104:8001/rtp/239.3.1.144:3005$北京市联通
山东卫视,http://116.235.252.22:8888/rtp/239.45.3.238:5140$上海市电信
山东卫视,http://116.235.252.22:8888/rtp/233.18.204.91:5140$上海市电信
山东卫视,http://116.235.252.22:8888/rtp/239.45.3.180:5140$上海市电信
山东卫视,http://58.38.126.237:4022/rtp/239.45.3.238:5140$上海市电信
山东卫视,http://58.38.126.237:4022/rtp/233.18.204.91:5140$上海市电信
山东卫视,http://58.38.126.237:4022/rtp/239.45.3.180:5140$上海市电信
辽宁卫视,http://123.113.182.104:8001/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://116.235.252.22:8888/rtp/239.45.1.123:5140$上海市电信
辽宁卫视,http://116.235.252.22:8888/rtp/233.18.204.96:5140$上海市电信
辽宁卫视,http://58.38.126.237:4022/rtp/239.45.1.123:5140$上海市电信
辽宁卫视,http://58.38.126.237:4022/rtp/233.18.204.96:5140$上海市电信
黑龙江卫视,http://123.113.182.104:8001/rtp/239.3.1.133:8016$北京市联通
黑龙江卫视,http://116.235.252.22:8888/rtp/239.45.3.232:5140$上海市电信
黑龙江卫视,http://116.235.252.22:8888/rtp/233.18.204.90:5140$上海市电信
黑龙江卫视,http://58.38.126.237:4022/rtp/239.45.3.232:5140$上海市电信
黑龙江卫视,http://58.38.126.237:4022/rtp/233.18.204.90:5140$上海市电信
吉林卫视,http://123.113.182.104:8001/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://116.235.252.22:8888/rtp/239.45.0.6:5140$上海市电信
吉林卫视,http://116.235.252.22:8888/rtp/239.45.3.248:5140$上海市电信
吉林卫视,http://116.235.252.22:8888/rtp/233.18.204.108:5140$上海市电信
吉林卫视,http://58.38.126.237:4022/rtp/239.45.0.6:5140$上海市电信
吉林卫视,http://58.38.126.237:4022/rtp/239.45.3.248:5140$上海市电信
吉林卫视,http://58.38.126.237:4022/rtp/233.18.204.108:5140$上海市电信
内蒙古卫视,http://116.235.252.22:8888/rtp/233.18.204.217:5140$上海市电信
内蒙古卫视,http://58.38.126.237:4022/rtp/233.18.204.217:5140$上海市电信
山西卫视,http://116.235.252.22:8888/rtp/239.45.3.205:5140$上海市电信
山西卫视,http://116.235.252.22:8888/rtp/239.45.0.57:5140$上海市电信
山西卫视,http://58.38.126.237:4022/rtp/239.45.3.205:5140$上海市电信
山西卫视,http://58.38.126.237:4022/rtp/239.45.0.57:5140$上海市电信
陕西卫视,http://116.235.252.22:8888/rtp/233.18.204.211:5140$上海市电信
陕西卫视,http://116.235.252.22:8888/rtp/233.18.204.223:5140$上海市电信
陕西卫视,http://58.38.126.237:4022/rtp/233.18.204.211:5140$上海市电信
陕西卫视,http://58.38.126.237:4022/rtp/233.18.204.223:5140$上海市电信
甘肃卫视,http://116.235.252.22:8888/rtp/239.45.0.15:5140$上海市电信
甘肃卫视,http://116.235.252.22:8888/rtp/233.18.204.110:5140$上海市电信
甘肃卫视,http://58.38.126.237:4022/rtp/239.45.0.15:5140$上海市电信
甘肃卫视,http://58.38.126.237:4022/rtp/233.18.204.110:5140$上海市电信
青海卫视,http://116.235.252.22:8888/rtp/239.45.0.37:5140$上海市电信
青海卫视,http://116.235.252.22:8888/rtp/233.18.204.112:5140$上海市电信
青海卫视,http://58.38.126.237:4022/rtp/239.45.0.37:5140$上海市电信
青海卫视,http://58.38.126.237:4022/rtp/233.18.204.112:5140$上海市电信
新疆卫视,http://116.235.252.22:8888/rtp/233.18.204.220:5140$上海市电信
新疆卫视,http://58.38.126.237:4022/rtp/233.18.204.220:5140$上海市电信
西藏卫视,http://123.113.182.104:8001/rtp/239.3.1.166:8188$北京市联通
西藏卫视,http://116.235.252.22:8888/rtp/233.18.204.222:5140$上海市电信
西藏卫视,http://58.38.126.237:4022/rtp/233.18.204.222:5140$上海市电信
三沙卫视,http://116.235.252.22:8888/rtp/239.45.0.56:5140$上海市电信
三沙卫视,http://116.235.252.22:8888/rtp/233.18.204.172:5140$上海市电信
三沙卫视,http://58.38.126.237:4022/rtp/239.45.0.56:5140$上海市电信
三沙卫视,http://58.38.126.237:4022/rtp/233.18.204.172:5140$上海市电信
兵团卫视,http://116.235.252.22:8888/rtp/233.18.204.221:5140$上海市电信
兵团卫视,http://58.38.126.237:4022/rtp/233.18.204.221:5140$上海市电信
山东教育卫视,http://123.113.182.104:8001/rtp/239.3.1.52:4120$北京市联通
中国教育1台,http://123.113.182.104:8001/rtp/239.3.1.57:8152$北京市联通
中国教育1台,http://116.235.252.22:8888/rtp/239.45.1.125:5140$上海市电信
中国教育1台,http://116.235.252.22:8888/rtp/233.18.204.98:5140$上海市电信
中国教育1台,http://58.38.126.237:4022/rtp/239.45.1.125:5140$上海市电信
中国教育1台,http://58.38.126.237:4022/rtp/233.18.204.98:5140$上海市电信
中国教育2台,http://123.113.182.104:8001/rtp/239.3.1.54:4120$北京市联通
中国教育2台,http://116.235.252.22:8888/rtp/239.45.1.52:5140$上海市电信
中国教育2台,http://116.235.252.22:8888/rtp/233.18.204.154:5140$上海市电信
中国教育2台,http://58.38.126.237:4022/rtp/239.45.1.52:5140$上海市电信
中国教育2台,http://58.38.126.237:4022/rtp/233.18.204.154:5140$上海市电信
中国教育4台,http://123.113.182.104:8001/rtp/239.3.1.56:4120$北京市联通
中国教育4台,http://116.235.252.22:8888/rtp/239.45.1.243:5140$上海市电信
中国教育4台,http://116.235.252.22:8888/rtp/233.18.204.111:5140$上海市电信
中国教育4台,http://58.38.126.237:4022/rtp/239.45.1.243:5140$上海市电信
中国教育4台,http://58.38.126.237:4022/rtp/233.18.204.111:5140$上海市电信
早期教育,http://116.235.252.22:8888/rtp/239.45.0.54:5140$上海市电信
早期教育,http://116.235.252.22:8888/rtp/233.18.204.187:5140$上海市电信
早期教育,http://58.38.126.237:4022/rtp/239.45.0.54:5140$上海市电信
早期教育,http://58.38.126.237:4022/rtp/233.18.204.187:5140$上海市电信

数字频道,#genre#
