江苏电信组播,#genre#
CCTV-7 国防军事[高清],http://home4.kmo.ink:8888/rtp/239.3.1.61:8104
CCTV-8 电视剧[高清],http://home4.kmo.ink:8888/rtp/239.3.1.175:8001
CCTV-9 纪录[高清],http://home4.kmo.ink:8888/rtp/239.3.1.62:8112
CCTV-10 科教[高清],http://home4.kmo.ink:8888/rtp/239.3.1.63:8116
CCTV-11 戏曲[高清],http://home4.kmo.ink:8888/rtp/239.3.1.152:8120
CCTV-12 社会与法[高清],http://home4.kmo.ink:8888/rtp/239.3.1.64:8124
CCTV-13 新闻[高清],http://home4.kmo.ink:8888/rtp/239.3.1.124:8128
CCTV-14 少儿[高清],http://home4.kmo.ink:8888/rtp/239.3.1.65:8132
CCTV-15 音乐[高清],http://home4.kmo.ink:8888/rtp/239.3.1.153:8136
CCTV-17 农业农村[高清],http://home4.kmo.ink:8888/rtp/239.3.1.151:8144
CCTV-4K 超高清[超清HDR],http://home4.kmo.ink:8888/rtp/239.3.1.245:2000
爱上4K[超清],http://home4.kmo.ink:8888/rtp/239.3.1.236:2000
4K超清[超清],http://home4.kmo.ink:8888/rtp/239.3.1.249:8001
淘电影[高清],http://home4.kmo.ink:8888/rtp/239.3.1.250:8001
星影,http://home4.kmo.ink:8888/rtp/239.3.1.94:4120
动作影院,http://home4.kmo.ink:8888/rtp/239.3.1.92:4120
光影,http://home4.kmo.ink:8888/rtp/239.3.1.84:4120
喜剧影院,http://home4.kmo.ink:8888/rtp/239.3.1.91:4120
家庭影院,http://home4.kmo.ink:8888/rtp/239.3.1.93:4120
精选,http://home4.kmo.ink:8888/rtp/239.3.1.74:4120
经典电影,http://home4.kmo.ink:8888/rtp/239.3.1.195:9024
金鹰纪实[高清],http://home4.kmo.ink:8888/rtp/239.3.1.58:8156
地理,http://home4.kmo.ink:8888/rtp/239.3.1.71:4120
淘剧场[高清],http://home4.kmo.ink:8888/rtp/239.3.1.95:8001
淘娱乐[高清],http://home4.kmo.ink:8888/rtp/239.3.1.100:8001
淘Baby[高清],http://home4.kmo.ink:8888/rtp/239.3.1.238:8001
萌宠TV[高清],http://home4.kmo.ink:8888/rtp/239.3.1.102:8001
湖南卫视[高清],http://home4.kmo.ink:8888/rtp/239.3.1.132:8012
